,description,project,duration,expected_duration,started_at,ended_at,project_hex_color
0,120min/GCIの課題やる,エンジニアリング,511,7200.0,2019-05-27T17:24:53+09:00,2019-05-27T17:33:24+09:00,#3750b5
1,120min/GCIの課題やる,エンジニアリング,6079,7200.0,2019-05-27T15:19:08+09:00,2019-05-27T17:00:27+09:00,#3750b5
2,120min/GCIの課題やる,エンジニアリング,5794,7200.0,2019-05-27T10:40:03+09:00,2019-05-27T12:16:37+09:00,#3750b5
3,180min/CSの論文読む,大学課題,12541,10800.0,2019-05-26T22:21:43+09:00,2019-05-27T01:50:44+09:00,#06aaf5
4,30min/matesをcircleciで自動デプロイできるようにする,エンジニアリング,7214,1800.0,2019-05-26T19:48:45+09:00,2019-05-26T21:48:59+09:00,#3750b5
5,30min/matesをcircleciで自動デプロイできるようにする,エンジニアリング,1689,1800.0,2019-05-26T19:15:01+09:00,2019-05-26T19:43:10+09:00,#3750b5
6,30min/matesのパフォーマンスチューニング,エンジニアリング,1396,1800.0,2019-05-26T18:51:19+09:00,2019-05-26T19:14:35+09:00,#3750b5
7,10min/matesのメールアドレス変更,エンジニアリング,385,600.0,2019-05-26T18:43:02+09:00,2019-05-26T18:49:27+09:00,#3750b5
8,180min/CSの論文読む,大学課題,713,10800.0,2019-05-26T18:30:56+09:00,2019-05-26T18:42:49+09:00,#06aaf5
9,ゲームする,休憩,306,,2019-05-26T18:20:42+09:00,2019-05-26T18:25:48+09:00,#fb8b14
10,40min/TOEFLスピーキング,院留学,2708,2400.0,2019-05-26T17:35:31+09:00,2019-05-26T18:20:39+09:00,#04bb9b
11,40min/TOEFLスピーキング,院留学,2798,2400.0,2019-05-26T16:48:21+09:00,2019-05-26T17:34:59+09:00,#04bb9b
12,30min/AtCoderの勉強法について調べる,エンジニアリング,762,1800.0,2019-05-26T16:21:21+09:00,2019-05-26T16:34:03+09:00,#3750b5
13,Togglのラベルづけをやり直す,振り返り,1493,,2019-05-26T15:36:45+09:00,2019-05-26T16:01:38+09:00,#ea468d
14,30min/AtCoderのABCやる,エンジニアリング,1560,1800.0,2019-05-26T15:06:39+09:00,2019-05-26T15:32:39+09:00,#3750b5
15,ゲームする,休憩,73,,2019-05-26T15:05:24+09:00,2019-05-26T15:06:37+09:00,#fb8b14
16,30min/AtCoderのABCやる,エンジニアリング,3905,1800.0,2019-05-26T14:00:14+09:00,2019-05-26T15:05:19+09:00,#3750b5
17,30min/AtCoderのABCやる,エンジニアリング,3660,1800.0,2019-05-26T11:29:59+09:00,2019-05-26T12:30:59+09:00,#3750b5
18,ゲームする,休憩,480,,2019-05-26T10:40:19+09:00,2019-05-26T10:48:19+09:00,#fb8b14
19,60min/AtCoderの復習,エンジニアリング,10044,3600.0,2019-05-26T07:52:53+09:00,2019-05-26T10:40:17+09:00,#3750b5
20,ゲームする,休憩,786,,2019-05-26T07:39:38+09:00,2019-05-26T07:52:44+09:00,#fb8b14
21,30min/TOEFLスピーキングやる,院留学,791,1800.0,2019-05-26T07:26:25+09:00,2019-05-26T07:39:36+09:00,#04bb9b
